id,canonical_latex,human_name,target_variable,section,topic,subtopic,exam,difficulty,quality_status,canonical_choice_reason,explanation_short,why_wrong_short,thinking_hint
kin_avg_speed_v_ege_oge,v_{ср}=\dfrac{S}{t},Средняя скорость,v,mechanics,kinematics,uniform_motion,BOTH,basic,clean,FIPI notation; solved for v; fraction form,"Средняя скорость — пройденный путь, делённый на время.",Перепутал путь и время или забыл деление.,Что делится на что: путь на время или время на путь?
kin_uniform_coord_x_t,x(t)=x_0+v_x t,Координата при равномерном движении,x,mechanics,kinematics,uniform_motion,BOTH,core,clean,FIPI codifier form,Координата линейно растёт от начальной на v_x·t.,Забыл начальную координату или знак скорости.,Что прибавляется к x₀ — скорость или скорость·время?
kin_uniaccel_coord_x_t,x(t)=x_0+v_{0x} t+\dfrac{a_x t^2}{2},Координата при равноускоренном движении,x,mechanics,kinematics,uniformly_accelerated,BOTH,core,clean,FIPI codifier; with 1/2,Добавляем к равномерному вклад ускорения ½·a·t².,Забыл делить на 2 или потерял t².,Какая степень t стоит у ускорения?
kin_uniaccel_velocity,v_x=v_{0x}+a_x t,Скорость при равноускоренном движении,v,mechanics,kinematics,uniformly_accelerated,BOTH,basic,clean,FIPI codifier,Скорость растёт линейно со временем.,Забыл начальную скорость или степень t.,Какая степень t у ускорения в формуле скорости?
kin_uniaccel_no_time,v^2-v_0^2=2aS,Связь скорости и пути без времени,v,mechanics,kinematics,uniformly_accelerated,BOTH,core,clean,standard form,Квадраты скоростей связаны с 2aS.,Забыл множитель 2 или возведение в квадрат.,В формуле без времени скорости стоят в какой степени?
kin_accel_definition,a=\dfrac{v-v_0}{t},Ускорение,a,mechanics,kinematics,uniformly_accelerated,BOTH,basic,clean,definition form,Ускорение — изменение скорости за время.,Перепутал числитель и знаменатель.,Что делится на время?
kin_circular_linear_speed,v=\dfrac{2\pi R}{T},Линейная скорость по окружности,v,mechanics,kinematics,circular_motion,BOTH,core,clean,FIPI form with T,За период проходится длина окружности 2πR.,Забыл π или радиус.,Сколько тело проходит за один период?
kin_circular_omega_T,\omega=\dfrac{2\pi}{T},Угловая скорость через период,omega,mechanics,kinematics,circular_motion,BOTH,basic,clean,standard,За период проходится угол 2π.,Забыл 2π или перепутал T и ω.,Какой угол проходится за период?
kin_centripetal_v2_R,a_ц=\dfrac{v^2}{R},Центростремительное ускорение (через v),a,mechanics,kinematics,circular_motion,BOTH,core,clean,FIPI codifier; through linear velocity,"Ускорение направлено к центру, величина v²/R.",Потерял квадрат скорости или перепутал R и v².,В какой степени стоит скорость?
kin_centripetal_omega2_R,a_ц=\omega^2 R,Центростремительное ускорение (через ω),a,mechanics,kinematics,circular_motion,BOTH,core,clean,alternate FIPI form,Выражение через угловую скорость.,Потерял квадрат угловой скорости.,В какой степени стоит ω?
dyn_newton_2nd,F=ma,Второй закон Ньютона,F,mechanics,dynamics,newton_laws,BOTH,basic,clean,FIPI codifier,Равнодействующая сила равна произведению массы на ускорение.,Перепутал произведение и деление или порядок.,"Что умножается, чтобы получить силу?"
dyn_newton_3rd,\vec F_{12}=-\vec F_{21},Третий закон Ньютона,,mechanics,dynamics,newton_laws,BOTH,basic,clean,standard vector form,Силы действия и противодействия равны по модулю и противоположны.,Забыл знак минус.,Какой знак у противодействия?
dyn_friction,F_{тр}=\mu N,Сила трения скольжения,F,mechanics,dynamics,friction,BOTH,basic,clean,standard,Сила трения пропорциональна нормальной реакции.,Перепутал μ и N местами или знак.,На что умножается коэффициент трения?
dyn_hookes_law,F=k\Delta l,Закон Гука,F,mechanics,dynamics,elastic_force,BOTH,basic,clean,FIPI codifier,Сила упругости пропорциональна удлинению.,Забыл Δ или перепутал k и Δl.,На что умножается жёсткость?
dyn_universal_gravitation,F=G\dfrac{m_1 m_2}{R^2},Закон всемирного тяготения,F,mechanics,dynamics,gravitation,BOTH,core,clean,FIPI codifier,Сила пропорциональна произведению масс и обратно пропорциональна квадрату расстояния.,Забыл квадрат расстояния.,В какой степени стоит расстояние?
dyn_gravity,F_{тяж}=mg,Сила тяжести,F,mechanics,dynamics,gravitation,BOTH,basic,clean,FIPI codifier,Сила тяжести пропорциональна массе.,Перепутал m и g или забыл множитель.,На что умножается масса?
cons_momentum_def,p=mv,Импульс тела,p,mechanics,conservation_laws,momentum,BOTH,basic,clean,FIPI codifier,Импульс — произведение массы на скорость.,Перепутал m и v или степень.,На что умножается масса?
cons_momentum_conservation,m_1 v_1+m_2 v_2=m_1 v_1'+m_2 v_2',Закон сохранения импульса (2 тела),,mechanics,conservation_laws,momentum,BOTH,core,clean,full form with primes,Сумма импульсов до равна сумме после.,Забыл одно из тел или знак проекции.,Что сохраняется в замкнутой системе?
cons_work,A=Fs\cos\alpha,Механическая работа,A,mechanics,conservation_laws,work_power,BOTH,core,clean,FIPI codifier,Работа = сила · перемещение · косинус угла.,Забыл cos α или перепутал знак.,Что учитывает cos α?
cons_power,N=\dfrac{A}{t},Механическая мощность,N,mechanics,conservation_laws,work_power,BOTH,basic,clean,definition form,"Мощность — работа, совершённая за единицу времени.",Перепутал работу и время.,Что делится на время?
cons_kinetic_energy,E_к=\dfrac{mv^2}{2},Кинетическая энергия,E,mechanics,conservation_laws,energy,BOTH,basic,auto_resolved,"Elena: E_k, Egor: E_кин — canonical = E_к (latin subscript merged to cyrillic к per FIPI)",Половина произведения массы на квадрат скорости.,Забыл делить на 2 или квадрат скорости.,В какой степени стоит скорость?
cons_potential_gravity,E_п=mgh,Потенциальная энергия в поле тяжести,E,mechanics,conservation_laws,energy,BOTH,basic,auto_resolved,"Elena: E_p, Egor: E_пот — canonical = E_п",Масса на g и на высоту.,Забыл g или высоту.,"Что перемножается: m, g, h или только часть?"
cons_mech_energy,E=E_к+E_п=\mathrm{const},Закон сохранения механической энергии,,mechanics,conservation_laws,energy,BOTH,core,clean,merged form,В замкнутой консервативной системе сумма кин. и пот. энергий сохраняется.,Забыл одно из слагаемых.,Что сохраняется — отдельные энергии или их сумма?
stat_moment,M=Fl,Момент силы,M,mechanics,statics,moment,BOTH,basic,clean,FIPI,Момент силы — сила на плечо.,Перепутал плечо с чем-то другим.,Что умножается на силу?
hydro_density,\rho=\dfrac{m}{V},Плотность,rho,mechanics,hydrostatics,density,BOTH,basic,clean,definition,Плотность — масса на единицу объёма.,Перепутал m и V.,Что делится на что?
hydro_pressure_general,p=\dfrac{F}{S},Давление (общая формула),p,mechanics,hydrostatics,pressure,BOTH,basic,clean,definition,Давление — сила на площадь.,Перепутал F и S.,Что в числителе — сила или площадь?
hydro_pressure_liquid,p=\rho g h,Давление столба жидкости,p,mechanics,hydrostatics,pressure,BOTH,core,clean,FIPI codifier,Давление жидкости на глубине h.,Забыл плотность или g.,Что перемножается?
hydro_archimedes,F_А=\rho g V,Сила Архимеда,F,mechanics,hydrostatics,archimedes,BOTH,core,clean,FIPI codifier,Сила Архимеда равна весу вытесненной жидкости.,Забыл плотность жидкости или объём.,Чья это плотность — тела или жидкости?
