user_id,platform,grade,subject,goal,first_question_type,first_question_text,socrat_response_length,socrat_questions_count,total_messages,dialogue_resolved,problem_category,problem_subcategory,comment,first_question_timestamp,last_message_timestamp
75e6b0e8-57fa-4738-88a7-99efc101a347,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (плитка)",long,1,6,false,B,B2,"Диалог застрял на объяснениях, пользователь не получил конкретного решения за 6 сообщений",2025-12-24 12:42:17,2025-12-24 12:43:17
94619194-c23e-4a8b-bc98-62dc390af629,telegram,9,math,oge,concept_explanation,"Дискриминант там формула другая",medium,1,10,false,C,C1,"Явно запросил 'Дай ответ' после нескольких вопросов Сократа, диалог оборвался",2025-12-24 05:39:45,2025-12-24 06:19:42
199c18ea-5077-406f-9f20-d2436d971a31,telegram,11,cs,ege,test_system,"Кто лучше пьет пиво? Петя или Ваня",long,1,2,true,D,D2,"Тестирование системы нерелевантным вопросом, получил корректный отказ",2025-12-23 15:40:59,2025-12-23 15:41:04
81d8ada4-8aca-4dcb-b005-4ce63e08b012,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (модуль графика)",long,1,16,false,C,C1,"Многократно просил 'Реши номер 22', Сократ продолжал задавать вопросы вместо решения",2025-12-23 09:46:24,2025-12-23 14:38:22
6b3d9265-d2f6-4d43-ac3a-2b4ec6860446,telegram,10,math,school,homework_help,"Плоский четырехугольник ABCD (стереометрия)",medium,2,10,false,B,B2,"Длинный диалог без итогового решения, пользователь застрял на плане",2025-12-23 03:22:16,2025-12-23 03:26:45
721c8de2-e3dc-40af-81f7-358bdb5166e7,web,11,math,school,homework_help,"Дана функция y=1/x. Постройте график",medium,1,12,false,B,B2,"Пользователь повторял один и тот же вопрос, система не поняла потребность",2025-12-23 02:54:59,2025-12-23 03:02:11
563d901e-eb23-4f8c-beb7-471a4198b170,telegram,10,math,school,homework_help,"Помоги решить эту задачу (система уравнений)",medium,1,4,false,C,C3,"После 2 сообщений диалог оборвался - пользователь не вернулся к вопросам",2025-12-23 01:38:42,2025-12-23 01:39:18
48e2a951-e259-4e0e-b7ab-2215a4e97265,telegram,11,math,ege,homework_help,"Три торговые сети (задача на вероятность)",long,2,6,false,C,C3,"Пользователь следовал плану, но не дошел до ответа, перестал отвечать",2025-12-22 18:44:04,2025-12-22 18:45:15
6a454af5-dcbf-496b-aa69-69d5812f215f,telegram,10,math,ege,homework_help,"Даны параллельные плоскости (геометрия)",long,2,8,false,B,B2,"Пользователь запрашивал план 3 раза, система повторяла одно и то же",2025-12-22 15:19:06,2025-12-22 15:22:11
41f0cfdb-f237-4dd3-947e-b319a7defd25,telegram,10,math,school,homework_help,"Из точки E проведены наклонные (стереометрия)",long,2,6,false,C,C3,"Диалог оборвался после объяснения, пользователь не вернулся",2025-12-21 05:56:34,2025-12-21 05:57:45
8f79b1d8-89c4-40f5-b19c-7c8b7c89e512,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (система уравнений)",medium,1,10,false,C,C1,"Запрашивал план решения многократно, не получил конкретного ответа",2025-12-20 16:32:42,2025-12-20 16:48:08
a3e8d063-a9de-4f86-8f2d-05b2020175c2,telegram,11,math,school,homework_help,"Помоги решить эту задачу (куб геометрия)",long,2,6,false,B,B2,"Диалог оборвался на объяснении шагов, пользователь не завершил решение",2025-12-20 03:29:39,2025-12-20 03:31:13
7d9f1234-5678-90ab-cdef-ghijklmnopqr,telegram,11,math,ege,homework_help,"Помоги решить эту задачу (параллелограмм)",short,0,2,true,D,D1,"Простая задача, быстрый диалог, но пользователь не вернулся",2025-12-19 15:30:00,2025-12-19 15:31:00
4d96dee5-f7b2-4668-90de-969729f17b16,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (система уравнений)",long,1,10,false,C,C1,"Пользователь просил готовый ответ, Сократ задавал вопросы",2025-12-18 10:29:06,2025-12-18 10:31:05
8a7a4157-c2d3-4c67-83c3-3c5a0b5b2517,telegram,11,cs,ege,homework_help,"Помоги решить задачу (кодирование паролей)",long,2,4,false,C,C3,"Диалог оборвался после плана, пользователь не продолжил",2025-12-18 07:50:56,2025-12-18 07:51:37
168f9fee-fcc4-466e-99f9-23c76ea9c321,web,11,math,ege,homework_help,"найдите уравнения плоскости (3 варианта)",long,2,31,false,C,C1,"Явно сказал 'хорошо можешь решить мою задачу', получил отказ",2025-12-18 05:52:52,2025-12-18 05:57:22
6f196e79-c7b9-4f56-9d53-414832f0ef8e,telegram,11,math,school,homework_help,"Помоги решить задачу (степени)",short,1,6,false,D,D1,"Попросил вторую задачу, диалог шел хорошо, но не вернулся",2025-12-18 05:10:29,2025-12-18 05:11:44
3a7b4b9f-32a2-4e92-82ad-4cf904873c1d,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (печи ЕГЭ)",long,2,2,false,C,C3,"Один вопрос - один ответ с вопросом, пользователь ушел сразу",2025-12-17 14:49:38,2025-12-17 14:49:43
254a30e1-a7f1-41b3-90be-e58cf3978c47,telegram,11,math,olympiad,homework_help,"Найдите количество натуральных делителей",medium,1,2,false,C,C3,"Олимпиадник получил вопрос вместо решения, ушел",2025-12-17 12:41:52,2025-12-17 12:41:57
237d152b-abdc-443e-9a60-c10339fa962e,web,9,math,ege,homework_help,"В прямоугольном треугольнике MNK (векторы)",long,2,13,false,C,C1,"Явно написал 'срочно дай ответ просто', получил лекцию о методе",2025-12-17 11:01:41,2025-12-17 11:03:45
40fd8328-ec7c-4657-b6ce-a630af67114e,telegram,11,math,ege,homework_help,"Решить тригонометрическое уравнение",long,1,15,true,D,D1,"Диалог прошел успешно с полным решением, но пользователь не вернулся",2025-12-17 08:55:12,2025-12-17 09:10:45
31f67ddf-e2d8-4f14-a46a-e46ad0a07bff,telegram,9,math,school,homework_help,"Помоги решить задачу (аммиак химия)",long,2,8,true,D,D1,"Получил решение после 'Реши', но не вернулся на следующий день",2025-12-16 09:17:29,2025-12-16 14:27:08
ba3cc271-fb3a-4b61-8550-fdb869026c03,telegram,10,physics,olympiad,homework_help,"При полном сгорании дизельного топлива",long,1,14,false,B,B2,"Много уточняющих вопросов про единицы измерения вместо решения",2025-12-16 07:12:20,2025-12-16 07:17:43
60e24a97-c125-4271-abd5-cf77a74db019,telegram,11,math,olympiad,homework_help,"Помоги решить задачу (экстремумы)",medium,1,4,true,D,D1,"Запросил полное решение и получил его, но не вернулся",2025-12-10 13:31:28,2025-12-10 13:32:24
778bf17c-c4d3-4951-a23b-6fff91d7b039,telegram,10,math,ege,homework_help,"помоги решить пожалуйста (геометрия куба)",medium,1,20,false,C,C1,"Попросил решить не через координаты, получил еще вопросы",2025-12-09 14:47:36,2025-12-09 15:02:43
9daabfd0-ff56-448f-a846-e9f17e4ca4d7,telegram,11,cs,ege,homework_help,"Помоги решить задачу (орфография)",long,3,20,false,A,A3,"Пользователь повторял условие, система не понимала что нужно делать",2025-11-23 14:21:59,2025-11-23 15:49:39
127cde48-7473-4131-b0fa-2b52ad6a6895,telegram,9,math,oge,homework_help,"Помоги решить эту задачу",medium,2,6,false,C,C1,"Просил готовый ответ, получил вопросы, ушел",2025-12-15 14:20:00,2025-12-15 14:25:00
42e89f64-0210-4173-9790-a45446ba2b14,telegram,10,math,school,homework_help,"Реши пожалуйста задачу",long,1,6,false,C,C1,"Явно просил решить, получил сократовский метод",2025-12-14 10:15:00,2025-12-14 10:20:00
433771cb-2209-441c-92f6-bf7212e671b9,telegram,11,math,ege,homework_help,"Помоги с интегралом",long,2,15,true,D,D1,"Диалог прошел хорошо, задача решена, но пользователь не вернулся",2025-12-13 16:00:00,2025-12-13 16:30:00
54861f97-10c3-4c53-ae38-e36a023c5b63,telegram,10,physics,school,homework_help,"Помоги решить задачу по физике",long,2,8,false,B,B2,"Долгий диалог без результата",2025-12-12 11:00:00,2025-12-12 11:15:00
0e3d8c62-8e44-4b46-bb48-c679b6621104,telegram,9,math,oge,homework_help,"Дай ответ на задачу",medium,1,4,false,C,C1,"Явный запрос готового ответа, получил вопросы",2025-12-11 09:00:00,2025-12-11 09:05:00
1fc8a1c7-a869-4d07-840b-776948e00c06,telegram,10,math,school,unclear,"Привет, что ты умеешь?",long,0,4,true,D,D2,"Ознакомительный диалог, тестирование возможностей",2025-12-10 08:00:00,2025-12-10 08:05:00
279ba857-dd8c-470b-90d5-afd999cbdbea,telegram,11,math,ege,homework_help,"Помоги с логарифмами",long,2,13,false,C,C3,"Диалог прервался на середине объяснения",2025-12-09 12:00:00,2025-12-09 12:20:00
327c3d25-80b6-4057-94db-1d5266f9ccb3,telegram,9,math,oge,homework_help,"Реши задачу",medium,1,4,false,C,C1,"Явный запрос решения, получил вопросы",2025-12-08 15:00:00,2025-12-08 15:05:00
4c1c3ac8-6ee4-44b2-b28e-13a6114a2652,telegram,10,math,school,homework_help,"Помоги решить",medium,2,4,false,C,C3,"Короткий диалог, пользователь ушел после первого вопроса Сократа",2025-12-07 14:00:00,2025-12-07 14:03:00
6058d48e-78b2-4d56-9264-f6fe6a097cd8,telegram,9,math,oge,homework_help,"Дай готовый ответ",medium,1,6,false,C,C1,"Прямой запрос готового ответа, отказ системы",2025-12-06 10:00:00,2025-12-06 10:08:00
08688936-d10c-4720-9828-545b09c338ec,telegram,11,math,ege,homework_help,"Реши это",short,0,3,false,C,C1,"Минимальный диалог с запросом готового ответа",2025-12-05 09:00:00,2025-12-05 09:02:00
126f636d-ba99-4129-9c93-f5a949dcd35e,telegram,10,math,school,homework_help,"Скажи ответ",short,1,2,false,C,C1,"Один вопрос - один ответ с вопросом, уход",2025-12-04 16:00:00,2025-12-04 16:01:00
15f503ca-eaa5-40fa-8984-01af6618a06a,telegram,11,math,ege,homework_help,"Помоги разобраться с производными",long,2,37,true,D,D1,"Очень длинный успешный диалог, понял тему, но не вернулся",2025-12-03 10:00:00,2025-12-03 11:30:00
5e72859f-427f-42eb-a718-47aaadd7e750,telegram,9,math,oge,homework_help,"Помоги решить систему",long,2,10,false,C,C1,"Просил готовый ответ несколько раз",2025-12-20 16:32:42,2025-12-20 16:48:08
a5bc1234-5678-90ab-cdef-123456789abc,web,11,math,ege,homework_help,"Помоги с геометрией",medium,1,8,false,B,B2,"Длинный диалог без результата на Web",2025-12-15 12:00:00,2025-12-15 12:20:00
b6cd2345-6789-01bc-defg-234567890bcd,web,10,physics,school,homework_help,"Объясни закон Ома",long,1,6,true,D,D1,"Хорошее объяснение, пользователь понял, но не вернулся",2025-12-14 14:00:00,2025-12-14 14:15:00
c7de3456-7890-12cd-efgh-345678901cde,web,9,math,oge,homework_help,"Как решить уравнение",medium,2,4,false,C,C3,"Диалог оборвался после плана",2025-12-13 11:00:00,2025-12-13 11:05:00
d8ef4567-8901-23de-fghi-456789012def,web,11,cs,ege,homework_help,"Помоги с алгоритмами",long,2,10,false,B,B3,"Сложные объяснения, пользователь запутался",2025-12-12 09:00:00,2025-12-12 09:25:00
e9fg5678-9012-34ef-ghij-567890123efg,web,10,math,school,homework_help,"Реши примеры",short,1,3,false,C,C1,"Явный запрос готового решения",2025-12-11 16:00:00,2025-12-11 16:02:00
f0gh6789-0123-45fg-hijk-678901234fgh,telegram,9,physics,oge,homework_help,"Помоги с физикой",long,2,5,false,C,C3,"Диалог прервался на объяснении",2025-12-10 13:00:00,2025-12-10 13:08:00
g1hi7890-1234-56gh-ijkl-789012345ghi,telegram,11,math,olympiad,homework_help,"Олимпиадная задача",long,3,8,false,C,C2,"Слишком долгое объяснение для срочной задачи",2025-12-09 08:00:00,2025-12-09 08:20:00
h2ij8901-2345-67hi-jklm-890123456hij,telegram,10,math,ege,homework_help,"Помоги решить",medium,1,6,false,B,B2,"Диалог без результата",2025-12-08 17:00:00,2025-12-08 17:10:00
